roi,band,contrast,Hilbert,IRASA,Residual
R_STG,alpha2,TS->ESS1,-1.6073729552599891,-1.2828332244730387,-1.9074043104836522
R_STG,alpha2,WS->ESS1,-1.897788413150209,-1.690974919420898,-2.0007809330816615
R_STG,alpha2,WS->LSS1,-1.8509706200322424,-1.5453119981171908,-2.059631024539138
R_STG,alpha2,WS->TS,-0.7393298243624143,-0.5499308591932078,-0.4042048383652411
R_STG,beta1,ESS1->LSS1,0.8158657963480205,0.6553303693201044,0.5984547519103873
R_STG,beta1,TS->ESS1,-0.6205480274880526,-0.25152174718842424,-0.026431493047886015
R_STG,beta1,WS->ESS1,-1.058972443670457,-0.7398258082425965,-0.5081308781913283
R_STG,beta1,WS->LSS1,-0.08099433913790849,-0.18679643577105223,0.052682924164335274
R_STG,beta1,WS->TS,-0.7948878451828848,-0.682282055900999,-0.5490319501882968
R_STG,beta2,ESS1->LSS1,-0.122998838748124,-0.16903515822659995,-0.1375170649782265
R_STG,beta2,TS->ESS1,-1.2845398371676033,-1.16101545246322,-0.7114368060351468
R_STG,beta2,WS->ESS1,-1.8594971143168626,-1.486176759311951,-1.1576338335912566
R_STG,beta2,WS->LSS1,-2.0569550000313166,-1.6579699918558752,-1.173839618725697
R_STG,beta2,WS->TS,-1.2566402693993242,-0.7830027868692391,-0.7673083711905493
R_STG,beta3,ESS1->LSS1,-0.7344794432605045,-0.6134804898777477,-0.6363948002200392
R_STG,beta3,TS->ESS1,-0.5057922655451377,-0.45929836656557643,0.4896217822387776
R_STG,beta3,WS->ESS1,-0.6031705087262641,-0.7125856259266667,0.541589204968782
R_STG,beta3,WS->LSS1,-1.3896215679204589,-1.1100442894496556,0.08186132840975525
R_STG,beta3,WS->TS,-0.2552507345118339,-0.3225782444182482,0.17892495745150114
R_STG,delta,ESS1->LSS1,1.5953178807923702,0.8837166822781837,0.6273790159083243
R_STG,delta,TS->ESS1,0.761228495381093,0.4303361880290102,0.9357431077999804
R_STG,delta,WS->ESS1,0.28756004632262433,0.3272274139360152,0.8956949721320429
R_STG,delta,WS->LSS1,1.5235472070238525,1.2203658189554902,1.3445381674090198
R_STG,delta,WS->TS,-0.2923220808394703,-0.021084073583821816,0.23015462482396518
R_STG,theta,ESS1->LSS1,1.426253014308231,0.9162746705673666,0.731471798335834
R_STG,theta,TS->ESS1,0.7182697451207444,0.2741155424500477,0.44820746588616595
R_STG,theta,WS->ESS1,0.6779521144064656,0.3157235217022143,0.5997038899437532
R_STG,theta,WS->LSS1,1.7255282756372203,1.0519276734930878,1.0977128263621894
R_STG,theta,WS->TS,0.33011680977946134,0.13867981179598263,0.2950719864722508
SPG,alpha1,ESS1->LSS1,0.2036934367977661,0.1431990769981839,-0.495423039013065
SPG,alpha1,TS->ESS1,-1.5590093967818046,-1.3105679827565284,-1.900936991965357
SPG,alpha1,WS->ESS1,-2.164555201341323,-1.9561984900852305,-2.3252353197561035
SPG,alpha1,WS->LSS1,-2.017885852737175,-1.7764380263615884,-2.6448136358099474
