roi,metric,contrast,contrast_label,n,dz,p,stars,mean_delta,ci95_lo,ci95_hi,band,metric_type
SPG,alpha2_peak_height_log10,ESS1->LSS1,ESS1 → LSS1,61,-0.1960495118008312,0.1309769246615963,ns,-0.0333362129048146,-0.07688541883236193,0.010212993022732722,alpha2,peak_height
SPG,alpha2_peak_height_log10,WS->ESS1,WS → ESS1,61,-1.5488948921111556,9.764354887451748e-18,***,-0.6012009186239696,-0.7006103140358809,-0.5017915232120583,alpha2,peak_height
SPG,alpha2_peak_height_log10,WS->LSS1,WS → LSS1,61,-1.5269092808367173,1.7967414132763e-17,***,-0.6345371315287843,-0.7409694568688486,-0.52810480618872,alpha2,peak_height
SPG,beta1_peak_height_log10,WS->TS,WS → TS,61,-0.6248131835847293,8.187954725248842e-06,***,-0.0919967844407025,-0.1297064089272324,-0.05428715995417262,beta1,peak_height
SPG,beta1_peak_height_log10,TS->ESS1,TS → ESS1,61,0.12795468076018854,0.3216347195233596,ns,0.013053180359195846,-0.013073841328698292,0.03918020204708998,beta1,peak_height
SPG,beta1_peak_height_log10,ESS1->LSS1,ESS1 → LSS1,61,0.41680240757309894,0.001864004517354688,**,0.062003590215316304,0.0239043457856317,0.10010283464500092,beta1,peak_height
SPG,beta1_peak_height_log10,WS->ESS1,WS → ESS1,61,-0.45519324670091305,0.0007439927160541375,***,-0.07894360408150666,-0.12336077405153695,-0.03452643411147637,beta1,peak_height
SPG,beta1_peak_height_log10,WS->LSS1,WS → LSS1,61,-0.08676992346151219,0.5005702914555562,ns,-0.01694001386619034,-0.06694050746856467,0.033060479736184,beta1,peak_height
SPG,beta2_peak_height_log10,WS->TS,WS → TS,61,-0.5339467206647924,9.94267646875975e-05,***,-0.07629246992454851,-0.11288677431232344,-0.03969816553677357,beta2,peak_height
SPG,beta2_peak_height_log10,TS->ESS1,TS → ESS1,61,-0.5152701940257106,0.00016254365463813574,***,-0.06954310425353036,-0.10410907802245864,-0.03497713048460208,beta2,peak_height
SPG,beta2_peak_height_log10,ESS1->LSS1,ESS1 → LSS1,61,-0.05290121115975702,0.6809537694555615,ns,-0.005188107574323328,-0.030305416195024512,0.01992920104637786,beta2,peak_height
SPG,beta2_peak_height_log10,WS->ESS1,WS → ESS1,61,-0.8609383235299845,7.377607643376953e-09,***,-0.14583557417807885,-0.18921873393837743,-0.10245241441778027,beta2,peak_height
SPG,beta2_peak_height_log10,WS->LSS1,WS → LSS1,61,-0.8216156683228412,2.4463088946293943e-08,***,-0.15102368175240224,-0.19810038972162658,-0.10394697378317792,beta2,peak_height
SPG,beta3_peak_height_log10,WS->TS,WS → TS,61,0.20357890580181454,0.11709017039189101,ns,0.020286153157035185,-0.0052347869784454895,0.04580709329251586,beta3,peak_height
SPG,beta3_peak_height_log10,TS->ESS1,TS → ESS1,61,0.500372667478407,0.00023911827951256023,***,0.056755581092348364,0.02770567448535695,0.08580548769933978,beta3,peak_height
SPG,beta3_peak_height_log10,ESS1->LSS1,ESS1 → LSS1,61,-0.37139382668148957,0.005197815303256794,**,-0.035215045064239704,-0.05949921774751772,-0.010930872380961684,beta3,peak_height
SPG,beta3_peak_height_log10,WS->ESS1,WS → ESS1,61,0.6252809015297,8.080198741950933e-06,***,0.07704173424938353,0.045485829889466894,0.10859763860930016,beta3,peak_height
SPG,beta3_peak_height_log10,WS->LSS1,WS → LSS1,61,0.3005255774567716,0.022233835926486707,*,0.04182668918514385,0.006181428649348578,0.07747194972093913,beta3,peak_height
SPG,delta_peak_height_log10,WS->TS,WS → TS,61,0.04462859511902296,0.7286394417042313,ns,0.007736481480723865,-0.03666117219148491,0.052134135152932644,delta,peak_height
SPG,delta_peak_height_log10,TS->ESS1,TS → ESS1,61,0.981338202377548,1.8328193734222593e-10,***,0.13484528850370076,0.09965305621174585,0.17003752079565565,delta,peak_height
