roi,metric,contrast,contrast_label,n,dz,p,stars,mean_delta,ci95_lo,ci95_hi
Occipital,log10_power_alpha1,ESS1->LSS1,ESS1 → LSS1,61,-0.05857723187908754,0.6489620774223732,ns,-0.009759857561598523,-0.05243199323997393,0.03291227811677689
Occipital,log10_power_alpha1,WS->ESS1,WS → ESS1,61,-2.4653474958578077,2.291664081584774e-27,***,-0.8173703139339883,-0.9022825861280614,-0.7324580417399151
Occipital,log10_power_alpha1,WS->LSS1,WS → LSS1,61,-2.3369522011299155,3.579428144717951e-26,***,-0.8271301714955868,-0.9177772429698083,-0.7364831000213652
Occipital,log10_power_alpha2,WS->TS,WS → TS,61,-0.8173422047323599,2.785441900050913e-08,***,-0.19616292608846983,-0.2576300299075143,-0.13469582226942534
Occipital,log10_power_alpha2,TS->ESS1,TS → ESS1,61,-1.4951751582398716,4.361013307398785e-17,***,-0.4206243809554718,-0.49267407056036605,-0.3485746913505775
Occipital,log10_power_alpha2,ESS1->LSS1,ESS1 → LSS1,61,0.06830700144038933,0.5956620204995642,ns,0.008990689730839786,-0.02471921568734272,0.042700595149022295
Occipital,log10_power_alpha2,WS->ESS1,WS → ESS1,61,-1.8347073336404254,4.9589246448125315e-21,***,-0.6167873070439417,-0.7028863601810242,-0.5306882539068591
Occipital,log10_power_alpha2,WS->LSS1,WS → LSS1,61,-1.7287967235569492,7.652312376834405e-20,***,-0.6077966173131018,-0.6978384015963764,-0.517754833029827
Occipital,log10_power_beta1,WS->TS,WS → TS,61,-1.004051015032296,9.121839335468677e-11,***,-0.107218382274877,-0.13456749336354779,-0.07986927118620621
Occipital,log10_power_beta1,TS->ESS1,TS → ESS1,61,-0.5475859810111039,6.90883880653722e-05,***,-0.06282141902061805,-0.09220367686807601,-0.03343916117316009
Occipital,log10_power_beta1,ESS1->LSS1,ESS1 → LSS1,61,0.2634812578555736,0.04395635395624118,*,0.03300834579004182,0.0009232177505652459,0.06509347382951838
Occipital,log10_power_beta1,WS->ESS1,WS → ESS1,61,-1.0914387774154375,6.279903517515112e-12,***,-0.17003980129549504,-0.20994054161888576,-0.13013906097210431
Occipital,log10_power_beta1,WS->LSS1,WS → LSS1,61,-0.8273268003864643,2.056339416389096e-08,***,-0.13703145550545318,-0.17945167605897577,-0.09461123495193058
Occipital,log10_power_beta2,WS->TS,WS → TS,61,-1.013549959197294,6.814322103468953e-11,***,-0.15386739918604497,-0.1927478415119644,-0.11498695686012554
Occipital,log10_power_beta2,TS->ESS1,TS → ESS1,61,-1.0786066580733211,9.29087315005307e-12,***,-0.16267872213759071,-0.2013062931931667,-0.12405115108201473
Occipital,log10_power_beta2,ESS1->LSS1,ESS1 → LSS1,61,-0.3802393707752661,0.004279946452754933,**,-0.057439452930026585,-0.09612804779915923,-0.01875085806089393
Occipital,log10_power_beta2,WS->ESS1,WS → ESS1,61,-1.497360145307156,4.1017160462429374e-17,***,-0.3165461213236358,-0.370688891393239,-0.2624033512540326
Occipital,log10_power_beta2,WS->LSS1,WS → LSS1,61,-1.8561199752695576,2.8821005948787266e-21,***,-0.37398557425366225,-0.42558900199763716,-0.32238214650968733
Occipital,log10_power_beta3,WS->TS,WS → TS,61,-0.4986604737109085,0.0002498763251116907,***,-0.05586859980001954,-0.08456269840272433,-0.027174501197314755
Occipital,log10_power_beta3,TS->ESS1,TS → ESS1,61,-0.638763135809536,5.5070429815095334e-06,***,-0.07555120076598956,-0.10584343256739018,-0.04525896896458895
Occipital,log10_power_beta3,ESS1->LSS1,ESS1 → LSS1,61,-0.6225448996672756,8.730825775514658e-06,***,-0.09715967371973525,-0.13713068285064234,-0.05718866458882815
Occipital,log10_power_beta3,WS->ESS1,WS → ESS1,61,-0.9118156772598738,1.5520005390437082e-09,***,-0.1314198005660091,-0.1683331533603058,-0.09450644777171241
Occipital,log10_power_beta3,WS->LSS1,WS → LSS1,61,-1.3299143596665326,4.9788914208556085e-15,***,-0.22857947428574435,-0.2725987911850247,-0.184560157386464
Occipital,log10_power_broadband,WS->TS,WS → TS,61,-1.0491753526442964,2.2856164277890226e-11,***,-0.18957061227031968,-0.23584627826508064,-0.14329494627555872
Occipital,log10_power_broadband,TS->ESS1,TS → ESS1,61,-0.6335221110024671,6.394312138370184e-06,***,-0.09493952284220408,-0.13332041027264502,-0.05655863541176316
Occipital,log10_power_broadband,ESS1->LSS1,ESS1 → LSS1,61,0.9794676388917044,1.94126682326568e-10,***,0.17658173898063195,0.13040902078237476,0.22275445717888914
Occipital,log10_power_broadband,WS->ESS1,WS → ESS1,61,-1.157126789849829,8.537800980962862e-13,***,-0.28451013511252377,-0.34748199753517195,-0.22153827268987555
Occipital,log10_power_broadband,WS->LSS1,WS → LSS1,61,-0.40967200960977224,0.00219960730474888,**,-0.10792839613189181,-0.1754012648969675,-0.04045552736681614
Occipital,log10_power_delta,WS->TS,WS → TS,61,-0.5781726167072851,3.009868809229499e-05,***,-0.18438523826306943,-0.26606197437307044,-0.10270850215306841
Occipital,log10_power_delta,TS->ESS1,TS → ESS1,61,0.3486620855103369,0.008455570511006347,**,0.06298873863774838,0.01671997096307553,0.10925750631242123
