roi,method,band,contrast,n,dz,p,stars,mean_delta
L_DLPFC,IRASA,alpha2,ESS1->LSS1,61,-0.0002347062746574974,0.9985434682521392,ns,-7.270217524275845e-05
L_DLPFC,IRASA,alpha2,WS->ESS1,61,-1.7420547164368787,5.406902550508883e-20,***,-0.7783724132594367
L_DLPFC,IRASA,alpha2,WS->LSS1,61,-1.6971149413584123,1.7647137176596437e-19,***,-0.7784451154346794
L_DLPFC,IRASA,beta1,WS->TS,61,-0.7260260720441494,4.3309130262147997e-07,***,-0.18395308981455336
L_DLPFC,IRASA,beta1,TS->ESS1,61,-0.4291933239840034,0.0013926487475858487,**,-0.08103858585393478
L_DLPFC,IRASA,beta1,ESS1->LSS1,61,0.2950240556088314,0.024689148964946332,*,0.06668012692170708
L_DLPFC,IRASA,beta1,WS->ESS1,61,-0.9359191933910168,7.402351814961576e-10,***,-0.26499167566848814
L_DLPFC,IRASA,beta1,WS->LSS1,61,-0.6605621209332619,2.9453804699120368e-06,***,-0.19831154874678103
L_DLPFC,IRASA,beta2,WS->TS,61,-0.968581894700757,2.7126069981920553e-10,***,-0.2138202172548314
L_DLPFC,IRASA,beta2,TS->ESS1,61,-1.3355302735913104,4.2251625591894254e-15,***,-0.24305099409312309
L_DLPFC,IRASA,beta2,ESS1->LSS1,61,-0.25146662141187043,0.054165905091806896,ns,-0.05593483788600664
L_DLPFC,IRASA,beta2,WS->ESS1,61,-1.7167674820661374,1.0499611133559509e-19,***,-0.45687121134795444
L_DLPFC,IRASA,beta2,WS->LSS1,61,-1.8415695366778255,4.165734346733639e-21,***,-0.5128060492339612
L_DLPFC,IRASA,beta3,WS->TS,61,-0.31201210841663285,0.01779715963498247,*,-0.058696435962092564
